City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,pariaman,-0.619,100.12,27.03,87,99,1.62,ID,1699580709
83,kapuskasing,49.4169,-82.4331,-1.95,93,100,5.66,CA,1699580119
84,den burg,53.0542,4.7972,7.99,93,75,6.69,NL,1699580710
85,pitea,65.3172,21.4794,0.05,95,100,0.36,SE,1699580710
86,chonchi,-42.6128,-73.8092,7.84,97,25,0.82,CL,1699580182
87,arica,-18.475,-70.3042,20.13,68,0,1.54,CL,1699580711
88,chibougamau,49.9168,-74.3659,-7.21,93,100,3.09,CA,1699579945
89,akdepe,42.0551,59.3788,7.05,50,100,6.26,TM,1699580712
90,hithadhoo,-0.6,73.0833,27.4,76,97,4.24,MV,1699580712
91,stanley,54.868,-1.6985,6.55,96,75,1.03,GB,1699579859
92,ceske budejovice,48.9745,14.4743,8.4,74,100,2.68,CZ,1699580713
93,bentiu,9.2333,29.8333,23.93,77,100,0.89,SS,1699580714
94,hawaiian paradise park,19.5933,-154.9731,27.73,76,20,5.66,US,1699580163
95,champerico,14.3,-91.9167,27.93,79,65,1.95,GT,1699580253
96,patnongon,10.9132,121.9937,29.65,66,45,2.34,PH,1699580715
97,karratha,-20.7377,116.8463,35.3,20,0,6.19,AU,1699580282
98,blackmans bay,-43.0167,147.3167,25.85,63,97,0.89,AU,1699580716
99,georgetown,5.4112,100.3354,26.96,94,20,1.54,MY,1699580549
100,bilibino,68.0546,166.4372,-23.96,100,91,0.42,RU,1699580138
101,arkalyk,50.2486,66.9114,4.62,77,100,3.25,KZ,1699580717
102,isafjordur,66.0755,-23.124,0.79,78,35,1.96,IS,1699580717
103,roma,43.2128,-75.4557,7.12,84,20,4.12,US,1699579984
104,khandyga,62.6667,135.6,-25.72,95,96,0.91,RU,1699580718
105,leticia,-4.2153,-69.9406,25.03,94,40,1.03,CO,1699580719
106,ivot,53.6756,34.1872,3.76,93,49,1.68,RU,1699580719
107,isangel,-19.55,169.2667,27.06,54,75,4.63,VU,1699580272
108,sikonge,-5.6333,32.7667,22.94,37,100,2.04,TZ,1699580720
109,codrington,-38.2667,141.9667,29.25,22,72,2.56,AU,1699580229
110,sarangani,5.4033,125.4636,28.62,75,98,4.26,PH,1699580721
111,tura,25.5198,90.2201,21.27,69,0,1.1,IN,1699580144
